total_energy, kinetic_energy, potential_energy
-32146.5,18225.2,-50371.7
-32081.5,18254.6,-50336.2
-32259.7,18318,-50577.7
-32408.9,18374.8,-50783.6
-32405.6,18420.3,-50825.9
-32313.8,18411.1,-50725
-32252.6,18361.5,-50614.2
-32225.8,18263,-50488.8
-32183.3,18163.6,-50346.9
-32207.2,18061.2,-50268.4
-32175.6,17982.6,-50158.2
-32171,17895.2,-50066.2
-32239.6,17863.5,-50103.1
-32218.9,17852.2,-50071
-32280.4,17820,-50100.4
-32223.7,17747.2,-49970.9
-31998.5,17638.4,-49637
-31866,17480.2,-49346.2
-31778.1,17324.4,-49102.5
-31711,17217.4,-48928.4
-31758.7,17144.6,-48903.3
-31775.4,17094.1,-48869.5
-31687.5,17070.1,-48757.6
-31721.1,17072.8,-48794
-31735.5,17085,-48820.5
-31728.7,17123.5,-48852.1
-31679.9,17177.7,-48857.6
-31599.7,17243.5,-48843.2
-31630.3,17303.1,-48933.3
-31599.6,17382,-48981.6
-31665.8,17490.5,-49156.3
-31696.1,17654.8,-49351
-31787.9,17854.6,-49642.5
-31896,18086.3,-49982.4
-32020.7,18337,-50357.7
-32038.9,18640.1,-50679
-32188.8,19012.9,-51201.6
-32367.5,19461.7,-51829.3
-32588.3,19947.1,-52535.4
-32743.3,20463.8,-53207.1
-32993.2,20975,-53968.2
-33171.9,21462.1,-54633.9
-33301.1,21893.7,-55194.8
-33424.5,22255.3,-55679.8
-33350.4,22465.2,-55815.7
-33176.2,22487.8,-55664
-32904.9,22349.2,-55254.1
-32450,22048.3,-54498.3
-32349.5,21665.8,-54015.3
-32200.1,21250.6,-53450.7
-32027.6,20816.9,-52844.5
-31819.1,20378.3,-52197.4
-31560,19937.7,-51497.7
-31363.6,19515.2,-50878.9
-31294.7,19161,-50455.7
-31264.1,18883.4,-50147.5
-31280.4,18671.9,-49952.3
-31319.1,18505.5,-49824.6
-31264.1,18365.9,-49630
-31272.1,18283.1,-49555.2
-31379,18254.5,-49633.5
-31387.9,18256.7,-49644.6
-31365.5,18305.5,-49670.9
-31447.1,18413.4,-49860.6
-31625.5,18585.6,-50211.1
-31809.6,18832.2,-50641.9
-32000.5,19134.5,-51134.9
-32121.7,19478.5,-51600.2
-32269,19820.1,-52089.2
-32444.3,20130,-52574.3
-32347.1,20331.2,-52678.3
-32236.5,20423.2,-52659.7
-32275.6,20417,-52692.6
-32301.6,20351.3,-52652.9
-32030.4,20243.7,-52274.1
-31890.9,20079.2,-51970.1
-31714,19853.6,-51567.6
-31720.8,19619.2,-51340
-31752.1,19401.6,-51153.8
-31672.5,19224.2,-50896.7
-31698.2,19111.5,-50809.7
-31700.4,19024.6,-50725
-31676.2,18978.7,-50654.9
-31648.5,18969.5,-50618
-31689.4,18965.1,-50654.6
-31683.5,18940.5,-50624.1
-31705.3,18901,-50606.3
-31591.7,18816.7,-50408.4
-31413,18735.6,-50148.5
-31286.7,18695.3,-49981.9
-31216.7,18698.2,-49915
-31289.9,18742.7,-50032.6
-31297.9,18837.7,-50135.7
-31434,18962.4,-50396.3
-31583,19093.2,-50676.2
-31665.6,19230.5,-50896.2
-31837.2,19393.1,-51230.3
-32048.6,19576.9,-51625.5
-32169.5,19767.3,-51936.7
-32232.5,19966.9,-52199.4
-32259.1,20148.4,-52407.5
-32379.2,20295,-52674.2
-32470.9,20409.5,-52880.4
-32461.6,20467.8,-52929.4
-32378.1,20496.6,-52874.7
-32325.3,20486.5,-52811.7
-32280.4,20434.8,-52715.3
-32182.6,20325.2,-52507.7
-32164.3,20183.8,-52348.1
-32133.7,20023.8,-52157.6
-32019.1,19798.2,-51817.3
-32018.5,19531.9,-51550.4
-31862.7,19219.5,-51082.3
-31690.1,18842.2,-50532.3
-31627,18499,-50126.1
-31469.9,18184.2,-49654.1
-31364.5,17901.2,-49265.8
-31287.9,17632,-48919.8
-31209.5,17416.2,-48625.7
-31223.5,17211.6,-48435.1
-31245.2,17022.3,-48267.6
-31222.4,16892.2,-48114.6
-31263.6,16844.7,-48108.3
-31288.1,16870.1,-48158.2
-31270.5,16933.7,-48204.1
-31365.8,17021.5,-48387.3
-31416.8,17144.8,-48561.7
-31533,17332.7,-48865.8
-31639.5,17581.8,-49221.3
-31813.8,17860.1,-49674
-31911.5,18159,-50070.5
-32096.9,18453.8,-50550.7
-32104.2,18685.9,-50790.1
-32053.6,18841.6,-50895.2
-31946.4,18943.7,-50890.2
-31856.8,18975.8,-50832.6
-31810.8,18957.5,-50768.3
-31830.2,18913.9,-50744.2
-31716.1,18861.7,-50577.9
-31616.5,18816.6,-50433.2
-31622.1,18788.5,-50410.6
-31619,18756.1,-50375.1
-31616.1,18722.2,-50338.3
-31486.1,18667.5,-50153.6
-31419.6,18589.6,-50009.2
-31314.5,18500.8,-49815.3
-31224.6,18449.8,-49674.3
-31191,18433.5,-49624.5
-31255.2,18482.5,-49737.6
-31357.6,18601.5,-49959.1
-31571.2,18785.6,-50356.8
-31740.6,19011.7,-50752.3
-31818.3,19269.2,-51087.5
-31860.8,19527.4,-51388.2
-31918.8,19779.3,-51698.1
-32032.9,20001.7,-52034.6
-32077.1,20198.9,-52275.9
-32116.4,20367.3,-52483.8
-32026,20454.5,-52480.5
-31905.8,20436.2,-52341.9
-31865,20373.1,-52238.1
-31833.2,20293.2,-52126.4
-31724.2,20195.8,-51920
-31594.7,20066.4,-51661.1
-31527.8,19921.9,-51449.7
-31363,19799.7,-51162.6
-31317.3,19690.5,-51007.8
-31174.7,19594.5,-50769.2
-31122.1,19493.8,-50615.9
-31096.1,19406.4,-50502.5
-31107.7,19362.3,-50470
-31179.2,19370.4,-50549.6
-31224.6,19457.5,-50682.1
-31269.4,19613.1,-50882.5
-31453.5,19843.8,-51297.3
-31732.7,20089.3,-51822
-31814.4,20316.7,-52131.1
-31779.9,20476.8,-52256.7
-31892.3,20575,-52467.3
-31804.9,20612.1,-52417
-31688.5,20590.3,-52278.8
-31628.3,20531.2,-52159.5
-31524.7,20486.9,-52011.7
-31444.6,20440.9,-51885.6
-31359.2,20369.5,-51728.7
-31245.2,20283.7,-51528.9
-31197,20171.9,-51368.9
-31098.9,20052.7,-51151.6
-31027,19952,-50979
-31045.8,19868.7,-50914.5
-31161.6,19852.5,-51014.2
-31309.3,19870,-51179.3
-31329.6,19868.6,-51198.2
-31189.8,19840.6,-51030.4
-31191,19799.3,-50990.3
-31162.6,19747.5,-50910
-31140.8,19683.6,-50824.4
-31119,19606.9,-50725.9
-31083.7,19523.4,-50607.1
-31141.1,19448.9,-50590
-31107.2,19371,-50478.2
-31219.9,19306,-50525.9
-31288.7,19232.4,-50521
-31254.9,19156.4,-50411.2
-31128.8,19040.9,-50169.7
-30985.7,18868.7,-49854.4
-30937.4,18710.3,-49647.6
-30931.3,18600.9,-49532.2
-30855.3,18513.2,-49368.5
-30905.5,18470.2,-49375.6
-31004.7,18480.6,-49485.3
-31050.2,18514.3,-49564.5
-31162.6,18552,-49714.6
-31178.2,18569.4,-49747.6
-31097.5,18546.3,-49643.8
-30941.2,18502.1,-49443.2
-30946.8,18424.2,-49371
-30842.4,18339.8,-49182.2
-30726.7,18284,-49010.7
-30698.7,18207.8,-48906.6
-30621.3,18150.6,-48771.9
-30630.3,18103,-48733.2
-30563.8,18095.2,-48659.1
-30702.4,18115,-48817.3
-30809.2,18144.4,-48953.6
-30733.4,18181.7,-48915.1
-30792.2,18224.2,-49016.4
-30796.9,18259,-49055.9
-30837.3,18286.1,-49123.4
-30916,18333.9,-49250
-30999.8,18385.2,-49385
-31080.2,18433,-49513.2
-31200.5,18485,-49685.5
-31209.3,18523.3,-49732.7
-31139.5,18561,-49700.5
-31270.2,18600.6,-49870.8
-31214.5,18634.2,-49848.7
-31261.7,18631.1,-49892.7
-31190.3,18572,-49762.3
-31056.2,18473.7,-49529.9
-30885.3,18337.1,-49222.4
-30902.3,18194.8,-49097.1
-30854,18075.4,-48929.4
-30808.9,17963.6,-48772.5
-30744.2,17879.9,-48624.1
-30787.7,17815,-48602.7
-30723.8,17778.5,-48502.3
-30798.6,17757.3,-48555.9
-30741.4,17748.4,-48489.8
-30739.7,17739.5,-48479.2
-30796.1,17749.7,-48545.8
-30779.2,17763.6,-48542.8
-30739.3,17778.4,-48517.7
-30749.5,17820.9,-48570.4
-30822.9,17879.4,-48702.3
-30783.5,17944.6,-48728
-30728.9,18015.5,-48744.5
-30777,18097.7,-48874.7
-30803.3,18201.9,-49005.3
-30897.7,18316,-49213.7
-30996.6,18437.3,-49433.9
-31060.1,18578.3,-49638.4
-31154,18752.5,-49906.5
-31212,18965.6,-50177.6
-31393.2,19199.6,-50592.8
-31446.5,19450.3,-50896.9
-31466.2,19713.5,-51179.7
-31509.8,19929.5,-51439.4
-31505.3,20110.9,-51616.2
-31468.2,20239.2,-51707.5
-31556,20288,-51844.1
-31606.3,20295.2,-51901.6
-31536.5,20289.2,-51825.7
